name,hard,clean,cond,bubble,cream,sap Na,sap K,desc
Coconut Oil 92,79,67,10,67,12,183,257,"Coconut 92 and coconut 76 contain the same levels of essential fatty acids, however some soapers prefer using the coconut 92 because it is easier to scoop than the coconut 76. The 92 next to coconut refers to the Fahrenheit temperature at which this oil melts."
"CocoNut Oil, fractionated",93,93,0,93,0,232,325,Produces a harder bar of soap that cleanses and bubbles. Absorbs easily into the skin without leaving a greasy feel. Not prone to rancidity; almost unlimited shelf life. Liquid at room temp.
Corn Oil,14,0,84,0,14,137,192,"It acts like most of the other vegetable liquid oils like soybean or canola. It can be used as part of your recipe (10-15%) and will help give a moisturizing, stable lather. Can soften your soap."
Cottonseed Oil,26,0,71,0,26,138,194,"It can be used as part of your recipe (10-15%) and will help give a moisturizing, stable, and silky lather. May be prone to rancidity, so proper storage is a must."
"Crisco, new with palm",25,0,74,0,25,138,193,None
"Crisco, old",26,0,70,0,26,137,192,None
"Flax Oil, linseed",9,0,90,0,9,135,190,"Flax seed oil is said to help heal skin damage, rashes, swelling, redness, and scars. Provides excellent conditioning to the skin. Use at 5-10% in soap recipes. Typically used to superfat soap. Will reduce the hardness of soap."
Grapeseed Oil,12,0,88,0,12,129,181,A light weight oil typically used to superfat soap. Grapeseed oil easily absorbs into the skin without leaving a heavy greasy feel. Typically used in anti-acne soap recipes. Usage rate of 5% in recipes. Can be prone to rancidity after 6 months. Proper storage is a must.
Hemp Oil,8,0,90,0,8,138,193,"Hemp seed oil is a deep, green color with a light, nutty smell. It gives a light, creamy/silky lather. Because of its fatty acid makeup, it has a very short shelf life; less than six months. It should be refrigerated or even kept in the freezer. It can be used as a luxury healing/moisturizing oil in soap up to 10%-15%."
Jojoba Oil (a liquid wax),0,0,12,0,0,66,92,"Jojoba is actually a liquid wax. It contributes a nice stable lather, has remarkable absorption and moisturizing qualities and unlike some of the other luxury moisturizing oils, has a very long shelf life; 1-2 years. Use it at 5-10% maximum. Can speed trace."
Lanolin Liquid Wax,0,0,0,0,0,76,106,"Lanolin contains almost no saponifiables, and therefore maintains its conditioning characteristics during the entire saponification process. Provides a silky feel to soap. Use at 1-5% in soap recipes, and keep temperature of lanolin around 110F when adding to your soap recipe."
"Lard, Pig Tallow",42,1,52,1,41,141,198,"Lard makes a super-hard, very white bar of soap with a low, creamy, stable lather that is moisturizing. Before vegetable oils were commonly available, it was one of the main fats (along with beef tallow) that folks used to make soap. If you use animal oils in your soap, then combining lard with some of the other liquid oils like coconut and olive makes a wonderful, well balanced bar of soap - and is really economical. Make sure your lard is fresh and of high quality. Use it at any percentage in your recipe, but I recommend not much more than 30-40% or so. Cold process laundry soap can be made with 100% lard with a 0% superfat percentage."
Macadamia Nut Oil,14,0,61,0,14,139,195,Macadamia nut oil is a light oil with a mild nutty odor. It is unique in its fatty acid makeup in that it contains palmitoleic acid - which makes it really easily absorbed into the skin - and is reported to be really great for older skin.
Mango Butter,49,0,48,0,49,136,191,"Mango butter helps produce soap that is conditioning, with a rich, creamy lather. Mango butter is typically used at around 5% to superfat soap."
Meadowfoam Oil,0,16,84,0,0,120,169,"Meadowfoam oil is typically used to superfat soap due to its conditioning qualities. Has excellent resistance to oxidation, and is not prone to rancidity. It is used as a binder that may help to increase the life of fragrance oil in soap and bath products. Usage rate 5-10% ."
Neem Oil,33,0,63,0,33,139,195,"Neem oil has a distinct odor, and should be used at small amounts in soap recipes. Contributes to a stable, creamy lather in soap, conditioning, and is said to treat skin conditions such as dandruff. Usage rate 1-5%."
Olive Oil,17,0,82,0,17,135,190,"Castille Soap, also called baby soap, is soap made by using 100% olive oil (no other soaping oils used). Marseille soap is referred to soap made by using no less than 72% olive oil in the recipe. Most soapers use additional soaping oils in their recipes to achieve better lather; as high olive oil soap can be a bit ""slimy"" with limited bubbles."
"Olive Oil, Promace",17,0,83,0,17,134,188,"Castille Soap, also called baby soap, is soap made by using 100% olive oil (no other soaping oils used). Marseille soap is referred to soap made by using no less than 72% olive oil in the recipe. Olive oil pomace contains unsaponifiable components that provide luxurious soap, but may contribute to the acceleration of trace. Most soapers use additional soaping oils in their recipes to achieve better lather; as high olive oil soap can be a bit ""slimy"" with limited bubbles."
Palm Kernel Oil,75,65,18,65,10,176,247,"Palm kernel oil provides cleansing ability to a bar of soap, but using more than 30-35% of palm kernel oil in soap can strip the skin of its natural oils, leaving the skin dry and irritated. In order to counter this problem, many soapers superfat their soap recipe with soaping oils which are highly conditioning to the skin."
"Palm Kernel Oil, Flakes",90,66,4,66,24,176,247,"Palm kernel oil provides cleansing ability to a bar of soap, but using more than 30-35% of palm kernel oil in soap can strip the skin of its natural oils, leaving the skin dry and irritated. In order to counter this problem, many soapers superfat their soap recipe with soaping oils which are highly conditioning to the skin."
Palm Oil,50,1,49,1,49,142,199,"Palm oil, along with olive and coconut, is one of the top oils used by soap makers today. Because of the qualities it gives soap - a hard bar with a rich creamy lather. Palm oil can speed trace. It is a solid at room temp."
Palm Stearin,67,2,33,2,65,142,199,None
Peanut Oil,11,0,82,0,11,137,192,"Peanut oil provides a stable, creamy lather, and conditioning to soap. However, it can be prone to rancidity, and must be stored properly. Peanut oil is high in vitamin E, and will make a softer bar of soap. Usage rate 1-5%."
Pine tar,0,0,0,0,0,43,60,"Contains a small amount of saponifiables, and has been used for centuries to treat dandruff, eczema, psoriasis, and other skin irritations. Pine tar has a distinct aroma. Typically used to superfat soap; 5%."
"Pumpkin Seed Oil, Virgin",19,0,83,0,19,139,195,"A dark colored oil with a natural nutty aroma that provides many nutrients to the skin such as vitamins A, C, E, K, and zinc. Pumpkin seed oil provides a stable, creamy lather and conditioning to soap recipes."
Race Bran Oil,26,1,96,1,25,128,179,"Rice bran oil provides conditioning, rich, creamy lather to soap. It is a great oil to use in recipes for mature, sensitive skin types."
"Safflower Oil, high oleic",7,0,92,0,7,135,190,"Use it in your recipes like you would soybean, canola or sunflower - 5-15% . In soap, it is mild and moisturizing. Can be prone to rancidity; proper storage is a must."
Sal Butter,50,0,42,0,50,132,185,"Sal butter provides soap with conditioning, hardness, and a creamy lather."
Sesame Seed Oil,15,0,83,0,15,134,188,"Sesame seed oil provides conditioning, stable later, and silky feel to soap. It has a natural, nutty aroma. Long shelf life, it is not prone to rancidity. It is said that sesame seed oil can be used to treat eczema, and psoriasis. May slow down trace. Usage 5-10% typically as a superfatting oil."
Shea Butter,45,0,54,0,45,128,179,"Shea butter contains some unsaponifiables that do not react with lye; thus remain in your soap to nourish the skin. Shea provides soap with hardness, conditioning, stable lather, and a silky feel. Shea butter when used in high percentages can speed trace. It has been said that shea butter can help with skin blemishes, dry skin, and wrinkles."
Soybean Oil,16,0,82,0,16,136,191,"Provides conditioning, stable lather in soap. Will slow trace."
Stearic Acid,99,0,0,0,99,141,198,"Used in soap making to create harder, creamier lather soap."
"Sunflower Oil, high oleic",7,0,88,0,7,135,189,"Sunflower oil is used in soap recipes where swirled soap is desired due to its ability to slow down trace. It provides stable lather, conditioning, and a silky feel to soap. Sunflower oil naturally resists rancidity due to its high vitamin E content. Usage up to 25% in recipes, but using high percentages will create a very soft soap."
"Tallow, Beef",58,8,40,8,50,143,200,"Like lard, beef tallow gives you a super-hard, white bar of soap with low, creamy, stable lather that is very moisturizing. Before vegetable oils were commonly available, it was one of the main fats that folks used to make soap - and remains one of the most common oils in soap. (Check your label for sodium tallowate. That's beef tallow.) If you are o.k. using animal oils in your soap, then combining beef tallow with some of the other liquid oils like coconut & olive makes a wonderful, well balanced bar of soap. While you can use it at any percentage in your recipe, I wouldn't recommend much more than 40% before it starts creating a brittle bar of soap."
